question,sentence,sia_score
What part of the car needs a fossil fuel to run?,Bituminous Coal Bituminous coal is the most common coal.,0.547
"What mostly influences plant growth, biodiversity, and adaptations of land organism?",Desertion is . . .,0.368
where do many ocean organisms find food and shelter?,"Earth orbits the sun, of course.",0.379
a what with feathers evolved from theropods?,"Site provide info on alpacas, alpaca events, farms of members, and a list of alpacas.",0.472
What decreases tooth decay?,Drier air means warmer air.,0.43
What can cause severe damage?,Progress is progress.,0.465
What happens to your leg when muscle fibers shorten?,Dehydration - Babies dehydrate quickly.,0.563
Something that prevents injury by forming protective plates is made of what?,"Rocks, Rocks and Rocks that's how it starts.",0.309
What has a circulatory system with a two-chambered heart?,"Chinook Salmon Also called king salmon, chinook salmon are the largest of the Pacific salmon.",0.77
What effects can flowerless plants growing in clumps have on their environment?,Gene flow tends to decrease differentiation.,0.445
Running water is able to do what to minerals and oxygen?,Thems is the breaks.,0.347
what does glass cause?,"With branding, Coke is Coke.",0.365
Something that is a push or a pull of water against the seed what causes a root to emerge.,Spring Spring spring Spring Is so near.,0.389
What can achieve new genetic variation in its gene pool?,Computation is computation.,0.491
What are used for seeing by animals by sensing light?,Bullfrog Tadpoles Bullfrog tadpoles are baby bullfrogs.,0.747
what kind of cells are abnormal?,"Dangerous because sex is dangerous, desire is dangerous, life is dangerous.",0.474
what flows to a light bulb to turn it on?,Electronics Vstore - electronics store great electronics at discount.,0.461
What requires water for survival?,Blue in pigeons is recessive to red in pigeons.,0.64
What is required to measure the hardness of a pearl?,Keratin is a protein.,0.532999999999999
what can be heard when it reaches the ear?,Gamma rays are nasty.,0.384
What causes a root to emerge from an acorn?,Erosion is erosion.,0.38
Snow falls on the _ side of the mountain range,Effective Rainfall Effective rainfall is the amount of rainfall actually stored in the soil.,0.495
What leads to reproduction?,Some chordates are invertebrates.,0.887
What happens when soda cans conduct heat?,Energy is energy.,0.744
Since when have mushrooms been eaten?,Skin is the largest organ of the body.,0.642
What are aquatic?,Plants hold nutrients in tissue.,0.875
What has a nervous system?,"Rocks, Rocks and Rocks that's how it starts.",0.375
What travels long distances?,Butterflies are in their cocoons.,0.655
What is a refrigerator used for?,Electricity is energy.,0.447
Moisture can turn metal what color,"If it is unsafe for washing vegetables, it is unsafe for drinking.",0.833
Members of what kingdom that shed their leaves seasonally each year are called deciduous.,Vegetable Shortening Vegetable shortening refers to solid vegetable shortening.,0.647
What does the movement of soil by water cause?,Earthquakes Earthquakes Japan is an earthquake-prone country.,0.322
what is the throwing up center of the brain used for?,Electrical energy can be converted into kinetic energy and heat energy by an electric motor.,0.34
What has a positive impact on a human's health?,Movement makes movement.,0.361
What causes an object to slow down?,Quadriceps stretch .,0.773
Plants that are heat tolerant and require less water are able what?,Migration End of division means migration.,0.456
"Plants convert carbon dioxide, water, and solar energy into what?"" ",Neurotransmitters are chemical messengers.,0.495
Something that is deposited in the vagina during sexual intercourse is made where?,Secrets are a secret.,0.780999999999999
What happens when sonic waves make eardrums vibrate?,Quaker Goes Deaf - Specializing in Experimental Music.,0.778
Chicken and potatoes can be cooked in a pan on what?,Bounty paper towels are the best kind of paper towels.,0.395
What happens when rivers get too much rain?,Gets sprayed by the snake's acid.,0.397999999999999
What does the fishhook cactus release during the day but not during the night.,Air is air is air.,0.804
What do the average number of individuals per unit of area or volume affect?,Intensive properties are fundamental properties of the material.,0.665999999999999
What can't too much sunlight sustain?,Introduction to Biomes Learn about biomes.,0.855
what is used to make an animal realize that it needs to replenish from a natural drinkable source,Bodily excretion is replaced with ink and electronic excretions.,0.750999999999999
What do frogs need to survive?,"Food, food, food, that's about it.",0.645
What do refrigerators do?,Heat is added.,0.696
what can be used for keeping warm?,Beaver Roasted Beaver Tail Beaver tail is fat and juicy and contains a lot of meat.,0.59
What is produced when plastic is made out of petroleum?,Dust and particles include bioaerosols.,0.831
What do humans use to see an image?,Manganoan Calcite Manganoan Calcite Calcite containing a small amount of manganese is pink.,0.49
What undergoes alternation of generations?,"Trees, trees, trees are nearly everywhere.",0.846
What is a cause of air pollution?,"Swim, swim, swim.",0.309
Sperm had to swim from male to female reproductive organs to be what?,Remodelling and growth at sutures allows growth.,0.828
where does being buried under soil and mud change peat into coal through extreme heat and pressure over a long period of time?,Earth is earth.,0.734
"What has a negative impact on people, animals and plants?","Drought, drought, drought, cautions the mayor.",0.595
What is converted into mechanical energy when bats fly?,"After all, batteries are batteries are batteries.",0.59
What doesn't protect plants?,"If Grandma says it's chickenpox, then it's chickenpox.",0.682999999999999
What can measure heat?,Scale Scale Try it.,0.897
what removes paint?,Magma Derricks Magma Derricks Magma derricks are large towers of metal scaffolding.,0.304
What can be used to separate a solute from a solvent in a solution?,Energy is energy.,0.672
what freezes and thaws to cause ice wedging?,Carbon is available as carbon dioxide.,0.652
What do some animals need to survive?,To harm the land is to harm the Gods.,0.528
What does plant and animal residue increase in soil?,Bugs bugs bugs.,0.692
What are not cells?,Fossils are the remains of prehistoric life.,0.389
what uses energy and inorganic molecules to make food?,Agriculture Agricultural policies aim to protect the Prime Agricultural Area and agricultural uses.,0.895
What contains most of the energy used by people worldwided?,Glucose fungus takes glucose to manitol.,0.775999999999999
Where can salamanders move?,Host to host.,0.513
what might infection or injury of the lungs cause?,Each death is devastating.,0.77
What causes animals to move to find shelter in another habitat?,Each death is devastating.,0.527
a very heavy material is formed by what?,Sand is sand.,0.655999999999999
What can be a gas or a liquid?,Alcohol is alcohol is alcohol.,0.888
What type of hormones are produced and controlled in the glands?,"Sweat dry, sweat dried, sweat dried.",0.61
What inside of a shell requires warmth to survive?,Earrings Abalone earrings Irridescent green abalone drop earrings.,0.307
objects will sink between boundaries with different what due to gravity,Energy is energy.,0.802
What prevent heat loss from the body after losing hair?,"And if the mask slips, it's a mask.",0.494
What do ships transport?,"Whenever water is exposed to air, the water and air begin to exchange water molecules.",0.382999999999999
What uses playing as just one of many ways to learn how to behave?,Athletes are athletes.,0.408
What has photosynthetic organs which grow when it does?,Bats is the plural of bat .,0.411
Absorbing what causes cars to heat?,"Sea ice includes grease ice, frazil ice, pancake ice and pack ice.",0.434
What can contract a little bit all at once as a short term adjustment to the cold?,"Within the broad ligament, locate the ovarian ligament and the round ligament of the uterus .",0.61
